Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Winiwarter, V., Haidvogl, G.","Danube: Future - a sustainable future for the danube river basin as a challenge for the interdisciplinary humanities",2014,"Acta Zoologica Bulgarica","66","SUPPL. 7",,"209","214",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904460974&partnerID=40&md5=85372ffd291bdb717ef97d25d24dfbaa",Article,Scopus,2-s2.0-84904460974
"Veto, I., Csizmeg, J., Sajgó, C.","Mantle-related CO<inf>2</inf>, metasedimentary HC-N<inf>2</inf> gas and oil traces in the Répcelak and Mihályi accumulations, W-Hungary-mixing of three fluids of very different origin",2014,"Central European Geology","57","1",,"53","69",,3,10.1556/CEuGeol.57.2014.1.3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907695963&partnerID=40&md5=75a14a024dfa7a49f0a2ea2d133a6f08",Article,Scopus,2-s2.0-84907695963
"Ilie, M., Marinescu, F., Ghita, G., Deak, Gy., Tanase, G.S., Raischi, M.","Assessment of heavy metal in water and sediments of the Danube River",2014,"Journal of Environmental Protection and Ecology","15","3",,"825","833",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923043105&partnerID=40&md5=b8c97a7386e06b4803c9638ed358811c",Article,Scopus,2-s2.0-84923043105
"Bačová Mitková, V., Halmová, D.","Joint modeling of flood peak discharges, volume and duration: A case study of the Danube River in Bratislava",2014,"Journal of Hydrology and Hydromechanics","62","3",,"186","196",,6,10.2478/johh-2014-0026,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906974647&partnerID=40&md5=48b29a085fa357ce80d62ceec52b3906",Article,Scopus,2-s2.0-84906974647
"Dular, J., Lubšina Tušek, M.","Two graves with cremation burials from Ptuj [Zwei gräber mit brandbestattungen aus Ptuj]",2014,"Arheoloski Vestnik","65",,,"9","33",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908567115&partnerID=40&md5=80bf8ac5946f519bc2ab868b3bce689c",Article,Scopus,2-s2.0-84908567115
"Kazanski, M.M.","Gelon with falx: About staftarms of the Great Migrations period",2014,"Stratum Plus","2014","6",,"105","111",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923273327&partnerID=40&md5=84a5be1e96bc47a40d35be20585a2e13",Article,Scopus,2-s2.0-84923273327
"Khrystyuk, B.","The short-term forecast of the water levels in the kiliya channel of the danube river [Trumpalaikė vandens lygių prognozė danubės upės kilijos kanale]",2014,"Energetika","60","1",,"69","75",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923918222&partnerID=40&md5=1ecc3453df312c331e51031a1a7dfd9c",Article,Scopus,2-s2.0-84923918222
"Lavrova, O.Yu., Mityagina, M.I., Serebryany, A.N., Sabinin, K.D., Kalashnikova, N.A., Krayushkin, E.V., Khymchenko, I.","Internal waves in the Black Sea: Satellite observations and in-situ measurements",2014,"Proceedings of SPIE - The International Society for Optical Engineering","9240",, 924016,"","",,,10.1117/12.2067047,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922670897&partnerID=40&md5=2bc5629896b4ffdde5fe4cc1268f46ca",Conference Paper,Scopus,2-s2.0-84922670897
"Zoran, L.F.V., Dida, A.I., Zoran, M.A.","Monitoring land use/cover changes on the Romanian Black Sea Coast",2014,"Proceedings of SPIE - The International Society for Optical Engineering","9245",, 92451J,"","",,,10.1117/12.2067192,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923096810&partnerID=40&md5=4b5eb08bd348966fe240048140fc081f",Conference Paper,Scopus,2-s2.0-84923096810
"Ambrus, M.","Legitimacy narratives in polycentric water law and governance: The strategies of the Danube Commission",2014,"International Organizations Law Review","11","1",,"83","113",,,10.1163/15723747-01101004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929242129&partnerID=40&md5=fff018379f3e3db7b08e031672d1e990",Review,Scopus,2-s2.0-84929242129
"Savić, R., Ondrašek, G., Bezdan, A., Letić, L., Nikolić, V.","Fluvial deposition in groyne fields of the middle course of the Danube river [Zasipanje med{stroke}unaperskih polja (prostora izmed{stroke}u regulacijskih pera) na srednjem toku Dunava]",2013,"Tehnicki Vjesnik","20","6",,"979","983",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890927584&partnerID=40&md5=6fcd78b343f4defa19386324f7568b69",Article,Scopus,2-s2.0-84890927584
"Enciu, P., Sima, M., Dumitrica, C.","Hydrostratigraphy of pre-quaternary formations situated in bottom of Romanian danube floodplain (Calafat - Turnu magurele sector)",2013,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM","2",,,"219","225",,,10.5593/SGEM2013/BA1.V2/S02.029,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890260304&partnerID=40&md5=064a3263251b3087ee762ddbcb459b31",Conference Paper,Scopus,2-s2.0-84890260304
"Benderev, A., Krastanov, M., Dobrev, N.","Status and problems of the use of groundwater for drinking danube lowlands purposes (the example of the vidin lowland)",2013,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM","2",,,"379","386",,,10.5593/SGEM2013/BA1.V2/S02.050,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890267248&partnerID=40&md5=e982382ab727b1fdcc3a6fb32cbc6608",Conference Paper,Scopus,2-s2.0-84890267248
"Kohout, J., Šedivá, A., Apostolou, A., Stefanov, T., Marić, S., Gaffaroǧlu, M., Šlechta, V.","Genetic diversity and phylogenetic origin of brown trout Salmo trutta populations in eastern Balkans",2013,"Biologia (Poland)","68","6",,"1229","1237",,3,10.2478/s11756-013-0271-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886873372&partnerID=40&md5=4245ba6408eddc084eff8a34a3cded44",Article,Scopus,2-s2.0-84886873372
"Miclean, M., Tanaselia, C., Roman, M., Cadar, O., Roman, C.","Organochlorine pesticides and metals in danube water environment, Calafat-Turnu Magurele sector, Romania",2013,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM",,,,"261","268",,1,10.5593/SGEM2013/BC3/S12.033,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892605654&partnerID=40&md5=a4b65b03eebb17bf72434d624972f221",Conference Paper,Scopus,2-s2.0-84892605654
"Raikova-Petrova, G., Velikova, S., Hamwi, N.","Sex structure and fecundity of pontic shad (Alosa immaculata Bennett, 1835) in the Bulgarian sector of danube",2013,"Bulgarian Journal of Agricultural Science","19","SUPPL. 1",,"88","93",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892775891&partnerID=40&md5=e436517e3d512daed57aea8d8286dec0",Article,Scopus,2-s2.0-84892775891
"Babic mladenovic, M., Kolarov, V., Damjanovic, V.","Sediment regime of the Danube River in Serbia",2013,"International Journal of Sediment Research","28","4",,"470","485",,5,10.1016/S1001-6279(14)60006-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893379857&partnerID=40&md5=a70b0a446e2c4414f08bc53f8bfa0fa0",Article,Scopus,2-s2.0-84893379857
"Buhociu, D.H., Rahoveanu, A.T., Florescu, T.C., Craciun, C., Popa, A.","Rural waterfronts, green areas and natural landscape at the Danube",2013,"Journal of Food, Agriculture and Environment","11","3-4",,"1692","1696",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891957147&partnerID=40&md5=bf9bfdf90419dc96be39f0682f3a077f",Article,Scopus,2-s2.0-84891957147
