Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Pistocchi, A., Calzolari, C., Malucelli, F., Ungaro, F.","Soil sealing and flood risks in the plains of Emilia-Romagna, Italy",2015,"Journal of Hydrology: Regional Studies","4",,,"398","409",,,10.1016/j.ejrh.2015.06.021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939170520&partnerID=40&md5=8c032b6b91e1ea961b4011e39509335f",Article,Scopus,2-s2.0-84939170520
"Smith, A., Newing, A., Quinn, N., Martin, D., Cockings, S., Neal, J.","Assessing the impact of seasonal population fluctuation on regional flood risk management",2015,"ISPRS International Journal of Geo-Information","4","3",,"1118","1141",,2,10.3390/ijgi4031118,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949009962&partnerID=40&md5=425b2591c3d98337b60f0cfc41dc27e3",Article,Scopus,2-s2.0-84949009962
"Votsis, A., Perrels, A.","Housing Prices and the Public Disclosure of Flood Risk: A Difference-in-Differences Analysis in Finland",2015,"Journal of Real Estate Finance and Economics",,,,"","",22,,10.1007/s11146-015-9530-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941330220&partnerID=40&md5=c3f737756b40621c6b81c477446e8e0c",Article in Press,Scopus,2-s2.0-84941330220
"Sulaiman, N.A., Mastor, T.A., Mat, M.S.C., Samad, A.M.","Flood hazard zoning and risk assessment for Bandar Segamat sustainability using analytical hierarchy process (AHP)",2015,"Proceedings - 2015 IEEE 11th International Colloquium on Signal Processing and Its Applications, CSPA 2015",,, 7225621,"72","77",,,10.1109/CSPA.2015.7225621,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957894857&partnerID=40&md5=dccf3da79b4122c36505f567818d4126",Conference Paper,Scopus,2-s2.0-84957894857
"Van Eerd, M.C.J., Wiering, M.A., Dieperink, C.","Solidarity in transboundary flood risk management: A view from the Dutch North Rhine–Westphalian catchment area",2015,"Climate Policy",,,,"","",19,,10.1080/14693062.2015.1075376,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939544941&partnerID=40&md5=4d0900d0eb133e5e76ed0321f11aa1f8",Article in Press,Scopus,2-s2.0-84939544941
"de Moel, H., Jongman, B., Kreibich, H., Merz, B., Penning-Rowsell, E., Ward, P.J.","Flood risk assessments at different spatial scales",2015,"Mitigation and Adaptation Strategies for Global Change","20","6",,"865","890",,4,10.1007/s11027-015-9654-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938975135&partnerID=40&md5=240298c68677eac911b07cc6fa6eaab4",Article,Scopus,2-s2.0-84938975135
"Klijn, F., Kreibich, H., de Moel, H., Penning-Rowsell, E.","Adaptive flood risk management planning based on a comprehensive flood risk conceptualisation",2015,"Mitigation and Adaptation Strategies for Global Change","20","6",,"845","864",,7,10.1007/s11027-015-9638-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938949641&partnerID=40&md5=719fa7f8e95d433439a20e9760e977e2",Article,Scopus,2-s2.0-84938949641
"Nillesen, A.L., Kok, M.","An integrated approach to flood risk management and spatial quality for a Netherlands’ river polder area",2015,"Mitigation and Adaptation Strategies for Global Change","20","6",,"949","966",,1,10.1007/s11027-015-9675-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938984348&partnerID=40&md5=77352341988223fee9026d6cb8f6904b",Article,Scopus,2-s2.0-84938984348
"Merz, B., Vorogushyn, S., Lall, U., Viglione, A., Blöschl, G.","Charting unknown waters - On the role of surprise in flood risk assessment and management",2015,"Water Resources Research","51","8",,"6399","6416",,6,10.1002/2015WR017464,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941994984&partnerID=40&md5=939e7a267eb3a32102663531cee76ef5",Article,Scopus,2-s2.0-84941994984
"Wehn, U., Evers, J.","The social innovation potential of ICT-enabled citizen observatories to increase eParticipation in local flood risk management",2015,"Technology in Society","42",,,"187","198",,1,10.1016/j.techsoc.2015.05.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935003851&partnerID=40&md5=39a76f74fe6adef8b9f757f5a200247e",Article,Scopus,2-s2.0-84935003851
"Tate, E., Muñoz, C., Suchan, J.","Uncertainty and Sensitivity Analysis of the HAZUS-MH Flood Model",2015,"Natural Hazards Review","16","3", 04014030,"","",,2,10.1061/(ASCE)NH.1527-6996.0000167,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951806119&partnerID=40&md5=4a8f62fae15b6fb965c0723671547c67",Article,Scopus,2-s2.0-84951806119
"García-Gil, A., Vázquez-Suñé, E., Sánchez-Navarro, J.A., Mateo Lázaro, J., Alcaraz, M.","The propagation of complex flood-induced head wavefronts through a heterogeneous alluvial aquifer and its applicability in groundwater flood risk management",2015,"Journal of Hydrology","527",,,"402","419",,1,10.1016/j.jhydrol.2015.05.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929469425&partnerID=40&md5=1c0c7686174bd9aeab9a676f60f19407",Article,Scopus,2-s2.0-84929469425
"Génova, M., Máyer, P., Ballesteros-Cánovas, J., Rubiales, J.M., Saz, M.A., Díez-Herrero, A.","Multidisciplinary study of flash floods in the Caldera de Taburiente National Park (Canary Islands, Spain)",2015,"Catena","131",,,"22","34",,1,10.1016/j.catena.2015.03.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925438027&partnerID=40&md5=940960d84cbb1d315f7978d86e83831c",Article,Scopus,2-s2.0-84925438027
"Yu, P., Feng, P., Li, J.","Influence of land subsidence on flood risk in detention basin",2015,"Journal of Natural Disasters","24","4",,"167","175",,,10.13577/j.jnd.2015.0420,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960130277&partnerID=40&md5=0d65628e3414452da65401a41da7fc32",Article,Scopus,2-s2.0-84960130277
"Joseph, R., Proverbs, D., Lamond, J.","Assessing the value of intangible benefits of property level flood risk adaptation (PLFRA) measures",2015,"Natural Hazards","79","2",,"1275","1297",,,10.1007/s11069-015-1905-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943814247&partnerID=40&md5=a6e2b4efb82ef9aa9d6a3e62f3a8dc85",Article,Scopus,2-s2.0-84943814247
"Gain, A.K., Mojtahed, V., Biscaro, C., Balbi, S., Giupponi, C.","An integrated approach of flood risk assessment in the eastern part of Dhaka City",2015,"Natural Hazards","79","3",,"1499","1530",,4,10.1007/s11069-015-1911-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947047304&partnerID=40&md5=8cd10de8c934311f103f1eb2dd55f264",Article,Scopus,2-s2.0-84947047304
"Mikuś, P., Wyzga, B., Radecki-Pawlik, A., Zawiejska, J., Amirowicz, A., Oglecki, P.","Environment-friendly reduction of flood risk and infrastructure damage in a mountain river: Case study of the Czarny Dunajec",2015,"Geomorphology",,,,"","",,,10.1016/j.geomorph.2015.11.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964969732&partnerID=40&md5=2247001c2c983342fda63e9fac907d2d",Article in Press,Scopus,2-s2.0-84964969732
"Horita, F.E.A., Albuquerque, J.P.D., Degrossi, L.C., Mendiondo, E.M., Ueyama, J.","Development of a spatial decision support system for flood risk management in Brazil that combines volunteered geographic information with wireless sensor networks",2015,"Computers and Geosciences","80",,,"84","94",,6,10.1016/j.cageo.2015.04.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927739494&partnerID=40&md5=38dbcb18ff61dc357dcfcccc54215500",Article,Scopus,2-s2.0-84927739494
"Di Baldassarre, G., Viglione, A., Carr, G., Kuil, L., Yan, K., Brandimarte, L., Blöschl, G.","Debates - Perspectives on socio-hydrology: Capturing feedbacks between physical and social processes",2015,"Water Resources Research","51","6",,"4770","4781",,19,10.1002/2014WR016416,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937523290&partnerID=40&md5=578a88a3a00d39219bcdf0a39c47f504",Review,Scopus,2-s2.0-84937523290
"Lai, C., Chen, X., Chen, X., Wang, Z., Wu, X., Zhao, S.","A fuzzy comprehensive evaluation model for flood risk based on the combination weight of game theory",2015,"Natural Hazards","77","2",,"1243","1259",,5,10.1007/s11069-015-1645-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940007121&partnerID=40&md5=dfc2c2239adf53a58a4991f38886a0e0",Article,Scopus,2-s2.0-84940007121
"Lieske, D.J.","Coping with climate change: The role of spatial decision support tools in facilitating community adaptation",2015,"Environmental Modelling and Software","68",,,"98","109",,2,10.1016/j.envsoft.2015.02.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924078919&partnerID=40&md5=3e21f25609e9e1458e2e7e56295e1c6f",Article,Scopus,2-s2.0-84924078919
"Loucks, D.P.","Debates - Perspectives on socio-hydrology: Simulating hydrologic-human interactions",2015,"Water Resources Research","51","6",,"4789","4794",,11,10.1002/2015WR017002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937524781&partnerID=40&md5=d4fd36ce10f13bfc9325a5f138029899",Note,Scopus,2-s2.0-84937524781
"Chitsaz, N., Banihabib, M.E.","Comparison of Different Multi Criteria Decision-Making Models in Prioritizing Flood Management Alternatives",2015,"Water Resources Management","29","8",,"2503","2525",,10,10.1007/s11269-015-0954-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939973734&partnerID=40&md5=e10b63fbac46055592cb0c4f5f493264",Article,Scopus,2-s2.0-84939973734
"Penning-Rowsell, E.C., Johnson, C.","The ebb and flow of power: British flood risk management and the politics of scale",2015,"Geoforum","62",,,"131","142",,3,10.1016/j.geoforum.2015.03.019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928665216&partnerID=40&md5=773870006345aec2cd36db19ad4c1aa8",Article,Scopus,2-s2.0-84928665216
"Francesch-Huidobro, M., Dabrowski, M., Tai, Y., Chan, F., Stead, D.","Governance challenges of flood-prone delta cities: Integrating flood risk management and climate change in spatial planning",2015,"Progress in Planning",,,,"","",,,10.1016/j.progress.2015.11.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953215118&partnerID=40&md5=061942a21750614557f88375a93a0f3a",Article in Press,Scopus,2-s2.0-84953215118
"Gaitan, S., ten Veldhuis, M.-C., van de Giesen, N.","Spatial Distribution of Flood Incidents Along Urban Overland Flow-Paths",2015,"Water Resources Management","29","9",,"3387","3399",,,10.1007/s11269-015-1006-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929961404&partnerID=40&md5=661ed8967531ec868cc41f75afcd46c4",Article,Scopus,2-s2.0-84929961404
"Falter, D., Schröter, K., Dung, N.V., Vorogushyn, S., Kreibich, H., Hundecha, Y., Apel, H., Merz, B.","Spatially coherent flood risk assessment based on long-term continuous simulation with a coupled model chain",2015,"Journal of Hydrology","524",,,"182","193",,11,10.1016/j.jhydrol.2015.02.021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924158261&partnerID=40&md5=dde16cc9d7c2b94377d029a6dcfa3fbd",Article,Scopus,2-s2.0-84924158261
"van der Pol, T.D., van Ierland, E.C., Gabbert, S., Weikard, H.-P., Hendrix, E.M.T.","Impacts of rainfall variability and expected rainfall changes on cost-effective adaptation of water systems to climate change",2015,"Journal of Environmental Management","154",,,"40","47",,3,10.1016/j.jenvman.2015.02.016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923025841&partnerID=40&md5=51690bf379524b5c0517867d9aae7a6d",Article,Scopus,2-s2.0-84923025841
"Camarasa-Belmonte, A.M., Butrón, D.","Estimation of flood risk thresholds in Mediterranean areas using rainfall indicators: case study of Valencian Region (Spain)",2015,"Natural Hazards","78","2",,"1243","1266",,,10.1007/s11069-015-1769-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938966296&partnerID=40&md5=9c88ffa3ae775893b23e59650b8e1c2b",Article,Scopus,2-s2.0-84938966296
"Wu, Y., Zhong, P.-A., Zhang, Y., Xu, B., Ma, B., Yan, K.","Integrated flood risk assessment and zonation method: a case study in Huaihe River basin, China",2015,"Natural Hazards",,,,"","",17,,10.1007/s11069-015-1737-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926609051&partnerID=40&md5=9cd6eacf2d1d1784f2207ed2f76f9760",Article in Press,Scopus,2-s2.0-84926609051
"Burgess, C.P., Taylor, M.A., Stephenson, T., Mandal, A., Powell, L.","A macro-scale flood risk model for Jamaica with impact of climate variability",2015,"Natural Hazards",,,,"","",26,1,10.1007/s11069-015-1712-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926183147&partnerID=40&md5=320640b052c28908fbb2d933de8997ca",Article in Press,Scopus,2-s2.0-84926183147
"Klijn, F., Mens, M.J.P., Asselman, N.E.M.","Flood risk management for an uncertain future: economic efficiency and system robustness perspectives compared for the Meuse River (Netherlands)",2015,"Mitigation and Adaptation Strategies for Global Change","20","6",,"1011","1026",,1,10.1007/s11027-015-9643-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938993461&partnerID=40&md5=72c06341fdade32977c64678f19047ea",Article,Scopus,2-s2.0-84938993461
"Wehn, U., Rusca, M., Evers, J., Lanfranchi, V.","Participation in flood risk management and the potential of citizen observatories: A governance analysis",2015,"Environmental Science and Policy","48",,,"225","236",,6,10.1016/j.envsci.2014.12.017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921959661&partnerID=40&md5=957ebe77c9ee047f47969b526003bc92",Article,Scopus,2-s2.0-84921959661
"Koks, E.E., Jongman, B., Husby, T.G., Botzen, W.J.W.","Combining hazard, exposure and social vulnerability to provide lessons for flood risk management",2015,"Environmental Science and Policy","47",,,"42","52",,12,10.1016/j.envsci.2014.10.013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911382698&partnerID=40&md5=2b9439df28c3c286c04ec123b91714b3",Article,Scopus,2-s2.0-84911382698
"Klerk, W.J., Winsemius, H.C., Van Verseveld, W.J., Bakker, A.M.R., Diermanse, F.L.M.","The co-incidence of storm surges and extreme discharges within the Rhine-Meuse Delta",2015,"Environmental Research Letters","10","3", 035005,"","",,5,10.1088/1748-9326/10/3/035005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925426237&partnerID=40&md5=f3e05563381c282b463727390065174f",Article,Scopus,2-s2.0-84925426237
"van der Pol, T.D., van Ierland, E.C., Gabbert, S.","Economic analysis of adaptive strategies for flood risk management under climate change",2015,"Mitigation and Adaptation Strategies for Global Change",,,,"","",19,,10.1007/s11027-015-9637-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923844172&partnerID=40&md5=8f3c16d9075d21c0082f6af3d6d1d839",Article in Press,Scopus,2-s2.0-84923844172
"Wang, F., Mu, X., Li, R., Fleskens, L., Stringer, L.C., Ritsema, C.J.","Co-evolution of soil and water conservation policy and human-environment linkages in the Yellow River Basin since 1949",2015,"Science of the Total Environment","508",,,"166","177",,6,10.1016/j.scitotenv.2014.11.055,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913588248&partnerID=40&md5=45295367e0ace4e7f379eb6ddfebc711",Article,Scopus,2-s2.0-84913588248
"Mazur, R., Kałuza, T., Chmist, J., Walczak, N., Laks, I., Strzeliński, P.","Influence of deposition of fine plant debris in river floodplain shrubs on flood flow conditions - The Warta River case study",2015,"Physics and Chemistry of the Earth",,,,"","",,,10.1016/j.pce.2015.12.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953807403&partnerID=40&md5=ff70b854e59d9725ca1205f9e70a3ef1",Article in Press,Scopus,2-s2.0-84953807403
"Tsimopoulou, V., Kok, M., Vrijling, J.K.","Economic optimization of flood prevention systems in the Netherlands",2015,"Mitigation and Adaptation Strategies for Global Change","20","6",,"891","912",,2,10.1007/s11027-015-9634-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938970799&partnerID=40&md5=94c5ba5d0345728b334ed17fa9e24728",Article,Scopus,2-s2.0-84938970799
"Tang, Y.-T., Chan, F.K.S., Griffiths, J.","City profile: Ningbo",2015,"Cities","42","PA",,"97","108",,2,10.1016/j.cities.2014.10.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908583856&partnerID=40&md5=807940b739a61d7cf0755c9a2d597f75",Article,Scopus,2-s2.0-84908583856
"Jongejan, R.B., Maaskant, B.","Quantifying flood risks in the Netherlands",2015,"Risk Analysis","35","2",,"252","264",,4,10.1111/risa.12285,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925281984&partnerID=40&md5=b8f699e31f7766fda38c26446d6d9ab8",Article,Scopus,2-s2.0-84925281984
"Bubeck, P., Kreibich, H., Penning-Rowsell, E.C., Botzen, W.J.W., de Moel, H., Klijn, F.","Explaining differences in flood management approaches in Europe and in the USA - a comparative analysis",2015,"Journal of Flood Risk Management",,,,"","",,3,10.1111/jfr3.12151,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928624704&partnerID=40&md5=aa52431c1ea6027d54ca8b2adc8091c3",Article in Press,Scopus,2-s2.0-84928624704
"Steinschneider, S., Wi, S., Brown, C.","The integrated effects of climate and hydrologic uncertainty on future flood risk assessments",2015,"Hydrological Processes","29","12",,"2823","2839",,9,10.1002/hyp.10409,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930381614&partnerID=40&md5=2de8475cdb73da1c234fabd5c1b449d5",Article,Scopus,2-s2.0-84930381614
