Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Criens, C.H.A., Willems, F.P.T., Van Keulen, T.A.C., Steinbuch, M.","Disturbance rejection in diesel engines for low emissions and high fuel efficiency",2015,"IEEE Transactions on Control Systems Technology","23","2", 6868243,"662","669",,3,10.1109/TCST.2014.2339326,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923256600&partnerID=40&md5=bba5f6a9cf589f4b17369a8c266b5479",Article,Scopus,2-s2.0-84923256600
"Tao, J., Zhang, L., Zhang, Z., Huang, R., Wu, Y., Zhang, R., Cao, J., Zhang, Y.","Control of PM<inf>2.5</inf> in Guangzhou during the 16th Asian Games period: Implication for hazy weather prevention",2015,"Science of the Total Environment","508",,,"57","66",,10,10.1016/j.scitotenv.2014.11.074,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912127672&partnerID=40&md5=18cf552947d20695820361495ba7e551",Article,Scopus,2-s2.0-84912127672
"Ouyang, W., Guo, B., Cai, G., Li, Q., Han, S., Liu, B., Liu, X.","The washing effect of precipitation on particulate matter and the pollution dynamics of rainwater in downtown Beijing",2015,"Science of the Total Environment","505",,,"306","314",,2,10.1016/j.scitotenv.2014.09.062,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908128606&partnerID=40&md5=ad408ce77a90f6041a734ac2ae336679",Article,Scopus,2-s2.0-84908128606
"Wu, D., Xu, Y., Zhang, S.","Will joint regional air pollution control be more cost-effective? Anempirical study of China's Beijing-Tianjin-Hebei region",2015,"Journal of Environmental Management","149",,,"27","36",,4,10.1016/j.jenvman.2014.09.032,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908388644&partnerID=40&md5=86b4f226f5b92b2c77ebe6693d097a1c",Article,Scopus,2-s2.0-84908388644
"San-Valero, P., Penya-Roja, J.M., Álvarez-Hornos, F.J., Marzal, P., Gabaldón, C.","Dynamic mathematical modelling of the removal of hydrophilic VOCs by biotrickling filters",2015,"International Journal of Environmental Research and Public Health","12","1",,"746","766",,,10.3390/ijerph120100746,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921308713&partnerID=40&md5=358799ed7580e3851cee67c6fc3111df",Article,Scopus,2-s2.0-84921308713
"Urbini, G.","Internationalization, education and technological innovation: Three key factors to improve the quality of the environment and public health [Internacionalização, educação e inovação tecnológica: Três fatores-chave para melhorar a qualidade do meio ambiente e saúde pública]",2015,"Revista Ambiente e Agua","10","1",,"1","10",,,10.4136/ambi-agua.1574,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918529848&partnerID=40&md5=53b8c633fee45f1f9f0b5cf0ffa8023f",Article,Scopus,2-s2.0-84918529848
"Qing, X., Zhang, H., Zhou, J., Liu, Z.","Numerical simulation research of water pollution control effect of Funiu River",2015,"Chinese Journal of Environmental Engineering","9","1",,"65","72",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921461168&partnerID=40&md5=f739068cb9fadd1629598c18b0632a18",Article,Scopus,2-s2.0-84921461168
"Ravindhranath, K., Srinivasa Reddy, B.","New bio-sorbents in the extraction of methylene blue dye from waste waters",2015,"Der Pharmacia Lettre","7","1",,"159","171",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924145652&partnerID=40&md5=187920083dbbcded21113a960a84421d",Article,Scopus,2-s2.0-84924145652
"Geronimo, F.K.F., Maniquiz-Redillas, M.C., Kim, L.-H.","Fate and removal of nutrients in bioretention systems",2015,"Desalination and Water Treatment","53","11",,"3072","3079",,1,10.1080/19443994.2014.922308,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923616237&partnerID=40&md5=76528b39466fb533f53ba09f489539fe",Article,Scopus,2-s2.0-84923616237
"Zhou, H., Chang, W., Zhang, L.","Particulate phosphorus sources apportionment in small watershed based on sediment fingerprinting",2015,"Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering","31","13",,"251","256",,,10.11975/j.issn.1002-6819.2015.13.035,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938370957&partnerID=40&md5=9439979dc8f5195d15d5f900784ac522",Article,Scopus,2-s2.0-84938370957
