Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kamenarska, Z., Serkedjieva, J., Najdenski, H., Stefanov, K., Tsvetkova, I., Dimitrova-Konaklieva, S., Popov, S.","Antibacterial, antiviral, and cytotoxic activities of some red and brown seaweeds from the Black Sea",2009,"Botanica Marina","52","1",,"80","86",,16,10.1515/BOT.2009.030,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-59649098075&partnerID=40&md5=7d33f99041967f56d746236aa0911735",Article,Scopus,2-s2.0-59649098075
"Alam, Md.S., Watanabe, W.O., Carroll, P.M., Rezek, T.","Effects of dietary protein and lipid levels on growth performance and body composition of black sea bass Centropristis striata (Linnaeus 1758) during grow-out in a pilot-scale marine recirculating system",2009,"Aquaculture Research","40","4",,"442","449",,10,10.1111/j.1365-2109.2008.02113.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-60649110107&partnerID=40&md5=a4821703f1fb38a9df81084f0e945834",Article,Scopus,2-s2.0-60649110107
"Bozoǧlu, M., Ceyhan, V.","Energy conversion efficiency of trout and sea bass production in the Black Sea, Turkey",2009,"Energy","34","2",,"199","204",,11,10.1016/j.energy.2008.12.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-60449084034&partnerID=40&md5=72165269e2064c1f05e8dadb456afca4",Article,Scopus,2-s2.0-60449084034
"Ramírez, A.R., Guerra, Y., Otero, A., García, B., Berry, C., Mendiola, J., Hernández-Zanui, A., Chávez, M. de los A.","Generation of an affinity matrix useful in the purification of natural inhibitors of plasmepsin II, an antimalarial-drug target",2009,"Biotechnology and Applied Biochemistry","52","2",,"149","157",,3,10.1042/BA20080013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-60549107738&partnerID=40&md5=8137cbab3c50becddf56432d1819474a",Article,Scopus,2-s2.0-60549107738
"Culha, M., Bat, L., Dogan, A., Dagli, E.","Ecology and distribution of the veined rapa whelk Rapana venosa (Valenciennes, 1846) in Sinop peninsula (Southern Central Black Sea), Turkey",2009,"Journal of Animal and Veterinary Advances","8","1",,"51","58",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58149382460&partnerID=40&md5=dd74f989c228f6e56a8c465ecc1777c6",Article,Scopus,2-s2.0-58149382460
"Svetlichny, L.S., Yuneva, T.V., Hubareva, E.S., Schepkina, A.M., Besiktepe, S., Kideys, A.E., Bat, L., Sahin, F.","Development of Calanus euxinus during spring cold homothermy in the Black Sea",2009,"Marine Ecology Progress Series","374",,,"199","213",,3,10.3354/meps07740,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-60049091965&partnerID=40&md5=99391e67dc36b51745f0cbee13606ba4",Article,Scopus,2-s2.0-60049091965
"Micu, D., Niţǎ, V.","First record of the Asian prawn Palaemon macrodactylus Rathbun, 1902 (Caridea: Palaemonoidea: Palaemonidae) from the Black Sea",2009,"Aquatic Invasions","4","4",,"597","604",,15,10.3391/ai.2009.4.4.5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053982751&partnerID=40&md5=3a72da681b8f0158edfd39cabab4eb1a",Article,Scopus,2-s2.0-80053982751
"Demirbas, A.","Hydrogen sulfide from the black sea for hydrogen production",2009,"Energy Sources, Part A: Recovery, Utilization and Environmental Effects","31","20",,"1866","1872",,6,10.1080/15567030802463844,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449597797&partnerID=40&md5=ecfa1f36c27dfd1bb61734913d44ecc6",Article,Scopus,2-s2.0-70449597797
"Bahr, A., Pape, T., Bohrmann, G., Mazzini, A., Haeckel, M., Reitz, A., Ivanov, M.","Authigenic carbonate precipitates from the NE Black Sea: A mineralogical, geochemical, and lipid biomarker study",2009,"International Journal of Earth Sciences","98","3",,"677","695",,20,10.1007/s00531-007-0264-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-63349088615&partnerID=40&md5=ad04baca470da5ccc18f90043e3a58e4",Article,Scopus,2-s2.0-63349088615
"Dalgiç, G., Ceylan, Y., Şahin, C.","The atlantic starfish, Asterias rubens Linnaeus, 1758 (Echinodermata: Asteroidea: Asteriidae) spreads in the Black sea",2009,"Aquatic Invasions","4","3",,"485","486",,3,10.3391/ai.2009.4.3.7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856655970&partnerID=40&md5=60e1b80e41a84f721d19609cfad15c9a",Article,Scopus,2-s2.0-84856655970
