"","Authors","Title","Year","Cited.by","Affiliations","EID"
"70","Sándor A.D., Alexe V., Marinov M., Dorosencu A., Dom<U+0219>a C., Kiss B.J.","Nest-site selection, breeding success, and diet of white-tailed eagles (Haliaeetus albicilla) in the Danube Delta, Romania",2015,1,"Department of Parasitology and Parasitic Diseases, University of Agricultural Sciences and Veterinary Medicine, Cluj-Napoca, Romania; NaturalNet LTD, Capusu Mare, Cluj, Romania; Danube Delta National Institute for Research and Development, Tulcea, Romania","2-s2.0-84923927392"
"71","Marinova V., Panayotova M.","In situ target strength measurements of sprat (Sprattus sprattus L.) in the Western Black Sea",2015,NA,"Institute of Oceanology, Bulgarian Academy of Science, P.O.Box 152, Parvi may 40 St, Varna, Bulgaria","2-s2.0-84946088557"
"72","Çelik M.Y., Karayücel S., Karayücel I., Eyüboglu B., Öztürk R.","The effects of environmental factors on survival, growth and biochemical composition of transplanted oysters (Ostreaedulis Linnaeus, 1758) from Aegean Sea to southern Black Sea",2015,2,"Faculty of Fisheries and Aquaculture, Sinop University, Sinop, Turkey; School of Fisheries and Aquaculture, Sinop University, Sinop, Turkey","2-s2.0-84925268091"
"73","Crossa S.","NATO-russia security challenges in the aftermath of ukraine conflict: Managing black sea security and beyond",2015,NA,"Kozmetsky Center, St Edward’s University, 3001 South Congress Avenue, Austin, TX, United States; Kennan Institute, Woodrow Wilson International Center for Scholars, Washington, DC, United States","2-s2.0-84954389937"
"74","Genov I.","Seismostratigraphy and the last Black Sea level changes",2015,1,"Institute of Oceanology, Bulgarian Academy of Sciences, P.O.B. 152, Varna, Bulgaria","2-s2.0-84948965059"
"75","Galatchi M., Rosioru D., Nenciu M., Zaharia T., Coprean D.","Aspects of romanian black sea coast anchovy (Engraulis encrasicolus, linnaeus, 1758) biology during 2013 - 2014",2015,NA,"National Institute for Marine Research and Development “Grigore Antipa”, Romania; Ovidius” University, Faculty of Environmental and Agriculture Sciences, Romania; Romanian Scientists Academy, Romania","2-s2.0-84946560813"
"76","Engin S., Keskin A.C., Akdemir T.","Occurrence and new geographical record of striped seabream Lithognathus mormyrus (Linnaeus, 1758) in the Turkish coast of Black Sea",2015,NA,"Izmir Katip Celebi University, Izmir, Turkey","2-s2.0-84960336210"
"77","Resteanu A., Munteanu A.","Convention regarding the protection of the black sea against pollution; why it will be necessary for other European non-riparian states to adhere at the convention",2015,NA,"ECOM, Association for the Protection of Human Being and Environment for a Sustainable Development in the World, Romania","2-s2.0-84946737489"
"78","Minicheva G.G.","New invader in the black sea: Kelp Chorda tomentosa Lyngb",2015,NA,"Institute of Marine Biology, NAS Ukraine, 37 Pushkinskaya St, Odessa, Ukraine","2-s2.0-84938559202"
"79","Muzaffer Feyzioglu A., Eruz C., Yildiz I.","Geographic variation of picocyanobacteria Synechococcus spp. Along the anatolian coast of the black sea during the late autumn of 2013",2015,NA,"Karadeniz Technical University, Çamburnu, Trabzon, Turkey","2-s2.0-84940999551"
"80","Galatchi M., Radu G., Zaharia T., Totoiu A., Coprean D.","Studies regarding biological aspects of anchovy (Engraulis encrasicolus Linnaeus, 1758) from the Romanian Black Sea coast",2015,NA,"'Grigore Antipa' National Institute for Marine Research and Development, 300 Mamaia Blvd., Constanta, Romania; Ovidius University, 220 Aurel Vlaicu Blvd., Constanta, Romania; Academy of Romanian Scientists, 54 Splaiul Independentei, Bucharest, Romania","2-s2.0-84946717200"
"81","Tkachenko F.P., Maslov I.I.","Fatty acids of total lipids of genus Cystoseira C. Agardh species (Phaeophyta) (Black Sea, Crimea)",2015,NA,"I.I. Mechnikov Odessa National University, Marine Research Station, 2 Dvorianskaya St, Odessa, Ukraine; State Nikitsky Botanical Garden, National Scientific Center, Yalta, Crimea, Ukraine","2-s2.0-84934287748"
"82","Panayotova M.D., Todorova V.R.","Using opportunistic sightings to assess the distribution of small cetaceans in bulgarian waters of the black sea in 2012",2015,NA,"Institute of Oceanology, Bulgarian Academy of Sciences, 40 Parvi May Streeet Varna, Bulgaria","2-s2.0-84944676175"
"83","Berov D., Ballesteros E., Sales M., Verlaque M.","Reinstatement of species rank for Cystoseira bosphorica Sauvageau (Sargassaceae, Phaeophyceae)",2015,NA,"Institute for Biodiversity and Ecosystem Research, Bulgarian Academy of Sciences (IBER-BAS), 2 Juri Gagarin Street, Sofia, Bulgaria; Centre d'Estudis Avancats de Blanes (CEAB-CSIC), Blanes, Spain; Estació Jaume Ferrer, Centre Oceanogràfic de Les Balears, Instituto Español de Oceanografía, La Mola, Maó, Spain; Institut Méditerranéen d'Océanologie (MIO), Aix-Marseille Université, Campus de Luminy, Case 901, Marseille cedex 9, France","2-s2.0-84924359226"
"84","Ryabushko V.I., Musatenko L.I., Voytenko L.V., Popova E.V., Nechoroshev M.V.","Functional role of fucoxantine and brown algae phytohormones",2015,NA,"A.O. Kovalevsky Institute of Biology of Southern Seas, 2, Nakhimov Ave., Sevastopol, Crimea, Ukraine; N.G. Kholodny Institute of Botany, NAS of Ukraine, 2, Tereshchenkovskaya St., Kiev, Ukraine","2-s2.0-84934293902"
"85","Filimon A., Abaza V.","Preliminary data on the vertical distribution of meiobenthos in the sediment of the Romanian Black Sea shallow waters",2015,NA,"NIRDEP - National Institute for Marine Research and Development 'Grigore Antipa', 300 Mamaia Blvd., Constanta, Romania","2-s2.0-84946739321"
"86","Oaie G., Secrieru D., Bondar C., Szobotka S., Dutu L., Stanescu I., Opreanu G., Dutu F., Pojar I., Manta T.","Lower Danube river: Characterization of sediments and pollutants",2015,NA,"National Institute of Marine Geology and Geo-Ecology (GeoEcoMar), 23-25 Dimitrie Onciul St, Bucharest, Romania","2-s2.0-84954522677"
"87","Nastac M., Negreanu-Pirjol T.","The impact of massive algae development on the marine ecosystem",2015,NA,"Protection of Human Being and Environment for Sustainable Development in the World – Ecom, Romania","2-s2.0-84946574221"
"88","Rusu L., Butunoiu D.","Numerical modelling of the wave propagation close to the sacalin island in the black sea",2015,NA,"Department of Mechanical Engineering, Dun<U+0259>rea de Jos University of Galati, Romania","2-s2.0-84946845031"
