"X","Authors","Title","Year","Cited.by","Affiliations","EID","Affiliations2","City","County","CountyCode"
460,"Madalina D.E.","Vocational education and training in the Black Sea countries",2013,NA,"Academy of Economic Studies Bucharest, Romania","2-s2.0-84892593848","academy of economic studies bucharest, romania","Bucharest","Bucuresti","B"
464,"Lazar A.V., Bugheanu A.D., Ungureanu G.V., Ionescu A.D.","Side-scan sonar mapping of anthropogenically influenced seafloor: A case-study of Mangalia Harbor, Romania",2013,NA,"SC Marine Research SRL, 6-12 Copilului St., 013481Bucharest, Romania","2-s2.0-84891653461","sc marine research srl, 6-12 copilului st., 013481bucharest, romania","Bucharest","Bucuresti","B"
464,"Lazar A.V., Bugheanu A.D., Ungureanu G.V., Ionescu A.D.","Side-scan sonar mapping of anthropogenically influenced seafloor: A case-study of Mangalia Harbor, Romania",2013,NA,"University of Bucharest, 6 Traian Vuia St, 020956 Bucharest, Romania","2-s2.0-84891653461","university of bucharest, 6 traian vuia st, 020956 bucharest, romania","Bucharest","Bucuresti","B"
471,"Mihailov M.-E., Buga L., Malciu V., Sarbu G., Oros A., Lazar L., Stefan S.","Characteristics of up-welling algal bloom and hypoxia events in the western black sea in 2010",2013,NA,"National Institute for Environmental Protection Research and Development, Subunit National Institute for Marine Research and Development Grigore Antipa Constanta-Romania, Mamaia Blvd. No. 300, 900591 Constanta, Romania","2-s2.0-84891394629","national institute for environmental protection research and development, subunit national institute for marine research and development grigore antipa constanta-romania, mamaia blvd. no. 300, 900591 constanta, romania","Constanta","Constanta","CT"
471,"Mihailov M.-E., Buga L., Malciu V., Sarbu G., Oros A., Lazar L., Stefan S.","Characteristics of up-welling algal bloom and hypoxia events in the western black sea in 2010",2013,NA,"Romania University of Bucharest, Faculty of Physics, Department of Atmospheric Physics and Earth Sciences, P.O. Box MG-11, 077125, Bucharest-Magurele, Romania","2-s2.0-84891394629","romania university of bucharest, faculty of physics, department of atmospheric physics and earth sciences, p.o. box mg-11, 077125, bucharest-magurele, romania","Magurele","Ilfov","IF"
472,"Lazar A.V., Balahura A.D., Lazar R., Ungureanu G.V., Ionescu A.","Sedimentological mapping of the seafloor from Romanian coast SCI natura 2000 sites using side-scan sonar",2013,NA,"Marine Research, Romania","2-s2.0-84892616758","marine research, romania","","",""
472,"Lazar A.V., Balahura A.D., Lazar R., Ungureanu G.V., Ionescu A.","Sedimentological mapping of the seafloor from Romanian coast SCI natura 2000 sites using side-scan sonar",2013,NA,"University of Bucharest, Romania","2-s2.0-84892616758","university of bucharest, romania","Bucharest","Bucuresti","B"
474,"Dumitrascu M., Grigorescu I., Doroftei M., Kucsicsa G., Mierla M., Dragota C.-S., Nastase M.","Assessing invasive terrestrial plan species Amorpha fruticosa in three wetland areas in Romania: Danube delta biosphere reserve, comana natural park and mures floodplain natural park",2013,1,"Institute of Geography, Romanian Academy, Romania","2-s2.0-84892600035","institute of geography, romanian academy, romania","Bucharest","Bucuresti","B"
474,"Dumitrascu M., Grigorescu I., Doroftei M., Kucsicsa G., Mierla M., Dragota C.-S., Nastase M.","Assessing invasive terrestrial plan species Amorpha fruticosa in three wetland areas in Romania: Danube delta biosphere reserve, comana natural park and mures floodplain natural park",2013,1,"Danube Delta National Institute, Romania","2-s2.0-84892600035","danube delta national institute, romania","","",""
474,"Dumitrascu M., Grigorescu I., Doroftei M., Kucsicsa G., Mierla M., Dragota C.-S., Nastase M.","Assessing invasive terrestrial plan species Amorpha fruticosa in three wetland areas in Romania: Danube delta biosphere reserve, comana natural park and mures floodplain natural park",2013,1,"Romanian Forest Administration, Romania","2-s2.0-84892600035","romanian forest administration, romania","","",""
485,"Adina-Eliza C., Cristina C.B., Veneta I.T., Vasile T.","Changes in seasonal and annual precipitation on the western coast of the black sea",2013,NA,"Babes-Bolyai University, Romania","2-s2.0-84892613047","babes-bolyai university, romania","Cluj Napoca","Cluj","CJ"
485,"Adina-Eliza C., Cristina C.B., Veneta I.T., Vasile T.","Changes in seasonal and annual precipitation on the western coast of the black sea",2013,NA,"Constanta Maritime University, Romania","2-s2.0-84892613047","constanta maritime university, romania","Constanta","Constanta","CT"
485,"Adina-Eliza C., Cristina C.B., Veneta I.T., Vasile T.","Changes in seasonal and annual precipitation on the western coast of the black sea",2013,NA,"National Meteorological Administration, Constanta Regional Weather Center, Romania","2-s2.0-84892613047","national meteorological administration, constanta regional weather center, romania","Constanta","Constanta","CT"
486,"Melinte-Dobrinescu M.C., Ion G.","Emiliania huxleyi fluctuation and associated microalgae in superficial sediments of the Romanian Black Sea shelf",2013,NA,"National Institute of Marine Geology and Geoecology (GeoEcoMar), 23-25 Dimitrie Onciul St, 024053 Bucharest, Romania","2-s2.0-84891648577","national institute of marine geology and geoecology (geoecomar), 23-25 dimitrie onciul st, 024053 bucharest, romania","Bucharest","Bucuresti","B"
490,"Mihailov M.-E., Buga L., Lazar L., Malciu V., Stefan S., Dumitrache L.","Danube river influence on the Romanian black sea waters",2013,1,"National Institute for Environmental Protection Research and Development, National Institute for Marine Research and Development 'Grigore Antipa' Constanta, Romania","2-s2.0-84892582668","national institute for environmental protection research and development, national institute for marine research and development 'grigore antipa' constanta, romania","Constanta","Constanta","CT"
490,"Mihailov M.-E., Buga L., Lazar L., Malciu V., Stefan S., Dumitrache L.","Danube river influence on the Romanian black sea waters",2013,1,"Meteorology and Environmental Physics Department, University of Bucharest, Romania","2-s2.0-84892582668","meteorology and environmental physics department, university of bucharest, romania","Bucharest","Bucuresti","B"
490,"Mihailov M.-E., Buga L., Lazar L., Malciu V., Stefan S., Dumitrache L.","Danube river influence on the Romanian black sea waters",2013,1,"Maritime Hydrographic Directorate, Romania","2-s2.0-84892582668","maritime hydrographic directorate, romania","","",""
500,"Dilis V., Vasilopoulou E., Alexieva I., Boyko N., Bondrea A., Fedosov S., Hayran O., Jorjadze M., Karpenko D., Costa H.S., Finglas P., Trichopoulou A.","Definition and documentation of traditional foods of the black sea area countries: Potential nutrition claims",2013,1,"Spiru Haret University, Bucharest, Romania","2-s2.0-84885870588","spiru haret university, bucharest, romania","Bucharest","Bucuresti","B"
500,"Dilis V., Vasilopoulou E., Alexieva I., Boyko N., Bondrea A., Fedosov S., Hayran O., Jorjadze M., Karpenko D., Costa H.S., Finglas P., Trichopoulou A.","Definition and documentation of traditional foods of the black sea area countries: Potential nutrition claims",2013,1,"Bucharest University of Economics, Bucharest, Romania","2-s2.0-84885870588","bucharest university of economics, bucharest, romania","Bucharest","Bucuresti","B"
502,"Margineanu R.M., Duliu O.G., Blebea-Apostu A.M., Gomoiu C., Bercea S.","Environmental dose rate distribution along the Romanian Black Sea Shore",2013,4,"Horia Hulubei National Institute of RandD for Physics and Nuclear Engineering, P.O. Box MG-06, 077125 Magurele, Ilfov, Romania","2-s2.0-84886877945","horia hulubei national institute of randd for physics and nuclear engineering, p.o. box mg-06, 077125 magurele, ilfov, romania","Ilfov","Ilfov","IF"
502,"Margineanu R.M., Duliu O.G., Blebea-Apostu A.M., Gomoiu C., Bercea S.","Environmental dose rate distribution along the Romanian Black Sea Shore",2013,4,"Department of Structure of Matter, Earth and Atmospheric Physics and Astrophysics, University of Bucharest, P.O. Box MG-11, 077125 Magurele, Ilfov, Romania","2-s2.0-84886877945","department of structure of matter, earth and atmospheric physics and astrophysics, university of bucharest, p.o. box mg-11, 077125 magurele, ilfov, romania","Ilfov","Ilfov","IF"
505,"Duliu O.G., Oaie G., Preoteasa F.","Time Series Analysis of Recent (1 kyr) euxinic sediments of the Black Sea: A case study",2013,NA,"University of Bucharest, Department of Structure of the Matter, Earth and Atmospheric Physics and Astrophysics, P.O. Box MG-11, RO-077125 Magurele (Ilfov), Romania","2-s2.0-84890479183","university of bucharest, department of structure of the matter, earth and atmospheric physics and astrophysics, p.o. box mg-11, ro-077125 magurele (ilfov), romania","Bucharest","Bucuresti","B"
505,"Duliu O.G., Oaie G., Preoteasa F.","Time Series Analysis of Recent (1 kyr) euxinic sediments of the Black Sea: A case study",2013,NA,"National Institute for Marine Geology and Geoecology, 23-25, Dimitrie Onciul Str., RO-024053, Bucharest, Romania","2-s2.0-84890479183","national institute for marine geology and geoecology, 23-25, dimitrie onciul str., ro-024053, bucharest, romania","Bucharest","Bucuresti","B"
506,"Albuquerque T.G., Costa H.S., Sanches-Silva A., Santos M., Trichopoulou A., D'Antuono F., Alexieva I., Boyko N., Costea C., Fedosova K., Karpenko D., Kilasonia Z., Ko<e7>aoglu B., Finglas P.","Traditional foods from the Black Sea region as a potential source of minerals",2013,6,"USH Bucharest, 13, Ion Ghica Str., Bucharest, Sector 3, 030045, Romania","2-s2.0-84885864036","ush bucharest, 13, ion ghica str., bucharest, sector 3, 030045, romania","Bucharest","Bucuresti","B"
507,"Costa H.S., Albuquerque T.G., Sanches-Silva A., Vasilopoulou E., Trichopoulou A., D'Antuono L.F., Alexieva I., Boyko N., Costea C., Fedosova K., Hayran O., Karpenko D., Kilasonia Z., Finglas P.","New nutritional composition data on selected traditional foods consumed in black sea area countries",2013,2,"Spiru Haret University Bucharest, 13 Ion Ghica Str., Sector 3, Bucharest, 030045, Romania","2-s2.0-84885830644","spiru haret university bucharest, 13 ion ghica str., sector 3, bucharest, 030045, romania","Bucharest","Bucuresti","B"
508,"Giosan L., Constantinescu S., Filip F., Deng B.","Maintenance of large deltas through channelization: Nature vs. humans in the Danube delta",2013,9,"Department of Geography, University of Bucharest, Bucharest, Romania","2-s2.0-84886584744","department of geography, university of bucharest, bucharest, romania","Bucharest","Bucuresti","B"
508,"Giosan L., Constantinescu S., Filip F., Deng B.","Maintenance of large deltas through channelization: Nature vs. humans in the Danube delta",2013,9,"FAD Smart Technology SRL, Str. Olari, 7, Bucharest 024056, Romania","2-s2.0-84886584744","fad smart technology srl, str. olari, 7, bucharest 024056, romania","Bucharest","Bucuresti","B"
518,"Doroftei E., Bercu R.","Cytological features of Ectocarpus siliculosus from the Black Sea",2013,NA,"'Ovidius' University, Constantza, Romania","2-s2.0-84884302516","'ovidius' university, constantza, romania","Constanta","Constanta","CT"
