"X","Authors","Title","Year","Cited.by","Affiliations","EID","Affiliations2","City","County","CountyCode"
789,"Simon T., Mazilu M.-E., Andrei M.-T., Severineanu R.-C., Dumitrascu C.","Aspects of the tourist development on the Romanian Black Sea coastline",2011,NA,"Craiova University, Faculty of Economy and Business Administration, Drobeta-Turnu Severin Center, Romania","2-s2.0-83655172823","craiova university, faculty of economy and business administration, drobeta-turnu severin center, romania","Craiova","Dolj","DJ"
789,"Simon T., Mazilu M.-E., Andrei M.-T., Severineanu R.-C., Dumitrascu C.","Aspects of the tourist development on the Romanian Black Sea coastline",2011,NA,"Spiru Haret University, Faculty of Geography, Bucharest, Romania","2-s2.0-83655172823","spiru haret university, faculty of geography, bucharest, romania","Bucharest","Bucuresti","B"
795,"Dunarintu A.","Sustainable management in the Danube Delta-the way to sustainable development",2011,NA,"Academia de Studii Economice Bucuresti, Romania","2-s2.0-84866947450","academia de studii economice bucuresti, romania","Bucharest","Bucuresti","B"
798,"Moceanu O.","Stefan Banulescu's novellas [Nuvelistica lui Stefan Banulescu]",2011,NA,"Transilvania University from Brasov, Faculty for Letters, Bv. Eroilor, nr. 25, Brasov, Romania","2-s2.0-84857572650","transilvania university from brasov, faculty for letters, bv. eroilor, nr. 25, brasov, romania","Brasov","Brasov","BV"
799,"Vosniakos F., Vasile G., Albanis T., Petre J., Stanescu E., Cruceru L., Nicolau M., Kochubovski M., Gjorgjev D., Nikolaou K., Golumbeanu M., Vosniakos K., Vasilikiotis G.","Comparison Study of Physicochemical Parameters Evaluation between Danube River Delta and AXIOS-VARDAR River Valley (2003-2009)",2011,2,"National Research and Development Institute for Industrial Ecology (ECOIND), Panduri 90-92, Bucharest, Romania","2-s2.0-84883190433","national research and development institute for industrial ecology (ecoind), panduri 90-92, bucharest, romania","Bucharest","Bucuresti","B"
799,"Vosniakos F., Vasile G., Albanis T., Petre J., Stanescu E., Cruceru L., Nicolau M., Kochubovski M., Gjorgjev D., Nikolaou K., Golumbeanu M., Vosniakos K., Vasilikiotis G.","Comparison Study of Physicochemical Parameters Evaluation between Danube River Delta and AXIOS-VARDAR River Valley (2003-2009)",2011,2,"National Institute of Marine Research and Development(NIMRD) Grigore Antipa, International Research Secretariat of B.EN.A., 300 Mamaia Bd., 900581 Constanta, Romania","2-s2.0-84883190433","national institute of marine research and development(nimrd) grigore antipa, international research secretariat of b.en.a., 300 mamaia bd., 900581 constanta, romania","Constanta","Constanta","CT"
812,"Sava D., Paraschiv M., Samargiu M.D., Tofan L.","Influence of nutrients on macrophytic red algae of the romanian black sea coast",2011,2,"Faculty of Natural Sciences and Agriculture Sciences, Ovidius University of Constanta, Constanta, Romania","2-s2.0-84860168616","faculty of natural sciences and agriculture sciences, ovidius university of constanta, constanta, romania","Constanta","Constanta","CT"
816,"Maximov V., Raykov V.S., Yankova M., Zaharia T.","Whiting (Merlangius merlangus euxinus) population parameters on the romanian and bulgarian littoral between 2000-2008",2011,2,"National Institute for Marine Research and Development 'Grigore Antipa ', 300 Mamaia Blvd., 900, 581 Constanta, Romania","2-s2.0-84856498761","national institute for marine research and development 'grigore antipa ', 300 mamaia blvd., 900, 581 constanta, romania","Constanta","Constanta","CT"
819,"Vespremeanu E., Pantu F., Bandoc G.","Rocky shore geomorphology: A case study on the cape schitu (western black sea coast in Romania)",2011,NA,"Centre of Coastal Research for Environment Protection, Faculty of Geography, University of Bucharest, 1 N. Balcesu Blvd., Sector 1, 010, 041 Bucharest, Romania","2-s2.0-84856452217","centre of coastal research for environment protection, faculty of geography, university of bucharest, 1 n. balcesu blvd., sector 1, 010, 041 bucharest, romania","Bucharest","Bucuresti","B"
835,"Apostol L., Gaceu O.","The climatic-touristic potential of the romanian black sea coast during summer, established according to the method of Besancenot, Mounier and de lavenne",2011,1,"Al. I. Cuza University, Iasi, Department of Geography and Geology, B-dul Carol I nr. 20 A, Iasi, Romania","2-s2.0-80055117188","al. i. cuza university, iasi, department of geography and geology, b-dul carol i nr. 20 a, iasi, romania","Iasi","Iasi","IS"
835,"Apostol L., Gaceu O.","The climatic-touristic potential of the romanian black sea coast during summer, established according to the method of Besancenot, Mounier and de lavenne",2011,1,"University of Oradea, Department of Geography, Tourism and Territorial Development, str. Universitatii, nr. 1, cod 410087, Oradea, Romania","2-s2.0-80055117188","university of oradea, department of geography, tourism and territorial development, str. universitatii, nr. 1, cod 410087, oradea, romania","Oradea","Bihor ","BH"
836,"Maximov V., Patras E., Oprea L., Zaharia T., Radu G., Sion C.","Analysis of quantitative and qualitative evolution of fishing main fish species of commercial value in the last two decades in the Romanian sector of the pontic basin",2011,3,"National Institute for Marine Research and Developmen Grigore Antipa, Constanta, Romania","2-s2.0-80055068874","national institute for marine research and developmen grigore antipa, constanta, romania","Constanta","Constanta","CT"
836,"Maximov V., Patras E., Oprea L., Zaharia T., Radu G., Sion C.","Analysis of quantitative and qualitative evolution of fishing main fish species of commercial value in the last two decades in the Romanian sector of the pontic basin",2011,3,"Faculty of Food Science and Engineering, Dunarea de Jos University of Galati, Galati, Romania","2-s2.0-80055068874","faculty of food science and engineering, dunarea de jos university of galati, galati, romania","Galati","Galati","GL"
837,"Raykov V.St., Yankova M., Radu G.H., Lisichkov K.","Exploitation patterns call for limiting the sprat yield at sustainable levels in the north-western part of the Black Sea",2011,1,"NIMRD 'G. Antipa', 300 MamaiaBlvd, 900 582 Constanta, Romania","2-s2.0-80055091543","nimrd 'g. antipa', 300 mamaiablvd, 900 582 constanta, romania","Constanta","Constanta","CT"
838,"Maximov V., Patras E., Oprea L., Zaharia T., Radu G., Sion C.","Contributions to the knowledge of the biological characteristics of main marketable fish species from the Black Sea Romanian area, between 2005-2009",2011,1,"National Institute for Marine Research and Developmen Grigore Antipa, Constanta, Romania","2-s2.0-80055070604","national institute for marine research and developmen grigore antipa, constanta, romania","Constanta","Constanta","CT"
838,"Maximov V., Patras E., Oprea L., Zaharia T., Radu G., Sion C.","Contributions to the knowledge of the biological characteristics of main marketable fish species from the Black Sea Romanian area, between 2005-2009",2011,1,"Faculty of Food Science and Engineering, Dunarea de Jos University of Galati, Galati, Romania","2-s2.0-80055070604","faculty of food science and engineering, dunarea de jos university of galati, galati, romania","Galati","Galati","GL"
848,"Sirbu R., Bechir A., Negreanu-P<ee>rjol T., Sava C., Negreanu-P<ee>rjol B., Zaharia T., Ursache C., Stoicescu R.M.","Studies on the nutrient content of species Mytilus galloprovincialis of the Black Sea",2011,NA,"'Ovidius' University of Constanta, Faculty of Pharmacy, Department of Chemistry, University st. 1, Constanta, Romania","2-s2.0-80053559813","'ovidius' university of constanta, faculty of pharmacy, department of chemistry, university st. 1, constanta, romania","Constanta","Constanta","CT"
848,"Sirbu R., Bechir A., Negreanu-P<ee>rjol T., Sava C., Negreanu-P<ee>rjol B., Zaharia T., Ursache C., Stoicescu R.M.","Studies on the nutrient content of species Mytilus galloprovincialis of the Black Sea",2011,NA,"'Titu Maiorescu' University of Bucharest, Gh. Patrascu st. 67A, 031593, Bucharest, Romania","2-s2.0-80053559813","'titu maiorescu' university of bucharest, gh. patrascu st. 67a, 031593, bucharest, romania","Bucharest","Bucuresti","B"
848,"Sirbu R., Bechir A., Negreanu-P<ee>rjol T., Sava C., Negreanu-P<ee>rjol B., Zaharia T., Ursache C., Stoicescu R.M.","Studies on the nutrient content of species Mytilus galloprovincialis of the Black Sea",2011,NA,"'Grigore Antipa' National Institute for Marine Research and Development, Mamaia blvd. 300, Constanta, Romania","2-s2.0-80053559813","'grigore antipa' national institute for marine research and development, mamaia blvd. 300, constanta, romania","Constanta","Constanta","CT"
849,"Negreanu-P<ee>rjol B., Negreanu-P<ee>rjol T., Paraschiv G., Bratu M., S<ee>rbu R., Roncea F., Meghea A.","Physical-chemical characterization of some green and red macrophyte algae from the Romanian Black Sea littoral",2011,5,"Ovidius University of Constanta, Faculty of Pharmacy, 1, Aleea Universitatii, Campus, Corp B, Constanta, Romania","2-s2.0-80053521816","ovidius university of constanta, faculty of pharmacy, 1, aleea universitatii, campus, corp b, constanta, romania","Constanta","Constanta","CT"
849,"Negreanu-P<ee>rjol B., Negreanu-P<ee>rjol T., Paraschiv G., Bratu M., S<ee>rbu R., Roncea F., Meghea A.","Physical-chemical characterization of some green and red macrophyte algae from the Romanian Black Sea littoral",2011,5,"Ovidius University of Constanta, Faculty of Natural and Agriculture Sciences, 1, Aleea Universitatii, Campus, Corp B, Constanta, Romania","2-s2.0-80053521816","ovidius university of constanta, faculty of natural and agriculture sciences, 1, aleea universitatii, campus, corp b, constanta, romania","Constanta","Constanta","CT"
849,"Negreanu-P<ee>rjol B., Negreanu-P<ee>rjol T., Paraschiv G., Bratu M., S<ee>rbu R., Roncea F., Meghea A.","Physical-chemical characterization of some green and red macrophyte algae from the Romanian Black Sea littoral",2011,5,"'Politehnica' University of Bucharest, Faculty of Applied Chemistry and Materials Science, 1-7, Polizu street, Bucharest, Romania","2-s2.0-80053521816","'politehnica' university of bucharest, faculty of applied chemistry and materials science, 1-7, polizu street, bucharest, romania","Bucharest","Bucuresti","B"
853,"van Assche K., Beunen R., Jacobs J., Teampau P.","Crossing trails in the marshes: Rigidity and flexibility in the governance of the Danube delta",2011,25,"Political Science, Babes Bolyai University, Cluj-Napoca, Romania","2-s2.0-80051555915","political science, babes bolyai university, cluj-napoca, romania","Cluj Napoca","Cluj","CJ"
860,"Gillet P., Surugiu V., Vasile R., Metais I., Mouloud M., Simo P.","Preliminary data on population dynamics and genetics of Alitta succinea (Polychaeta: Nereididae) from the Romanian coast of the Black Sea",2011,2,"Universitatea 'Alexandru Ioan Cuza' din Iasi, Facultatea de Biologie, Iasi, Romania","2-s2.0-84859069924","universitatea 'alexandru ioan cuza' din iasi, facultatea de biologie, iasi, romania","Iasi","Iasi","IS"
862,"Vasiliev I., Iosifidi A.G., Khramov A.N., Krijgsman W., Kuiper K., Langereis C.G., Popov V.V., Stoica M., Tomsha V.A., Yudin S.V.","Magnetostratigraphy and radio-isotope dating of upper Miocene-lower Pliocene sedimentary successions of the Black Sea Basin (Taman Peninsula, Russia)",2011,30,"Department of Paleontology, Faculty of Geology and Geophysics, Bucharest University, Balcescu Bd. 1, Bucharest, 010041, Romania","2-s2.0-80053132511","department of paleontology, faculty of geology and geophysics, bucharest university, balcescu bd. 1, bucharest, 010041, romania","Bucharest","Bucuresti","B"
884,"Caraivan G., Fulga C., Golumbeanu M.","Holocene sedimentary processes in the Agigea barrier beach area",2011,NA,"National Institute of Marine Geology and Geo-Ecology (GeoEcoMar), 304 Mamaia Blvd., 900 581 Constanta, Romania","2-s2.0-79960787229","national institute of marine geology and geo-ecology (geoecomar), 304 mamaia blvd., 900 581 constanta, romania","Constanta","Constanta","CT"
884,"Caraivan G., Fulga C., Golumbeanu M.","Holocene sedimentary processes in the Agigea barrier beach area",2011,NA,"National Institute for Marine Research and Development, Grigore Antipa, Constanta, Romania","2-s2.0-79960787229","national institute for marine research and development, grigore antipa, constanta, romania","Constanta","Constanta","CT"
885,"Radu G., Anton E., Golumbeanu M., Raykov V., Yankova M., Panayotova M., Shlyahov V., Zengin M.","State of the main Black Sea commercial fish species correlated with the ecological conditions and fishing effort",2011,8,"National Institute for Marine Research and Development, Grigore Antipa, 300 Mamaia Blvd., Constanta, Romania","2-s2.0-79960750203","national institute for marine research and development, grigore antipa, 300 mamaia blvd., constanta, romania","Constanta","Constanta","CT"
895,"Petrov K., Baykara S.Z., Ebrasu D., Gulin M., Veziroglu A.","An assessment of electrolytic hydrogen production from H2S in Black Sea waters",2011,17,"National Institute for Cryogenics and Isotopic Technologies (ICIT), Rm. Valcea, Romania","2-s2.0-79958838560","national institute for cryogenics and isotopic technologies (icit), rm. valcea, romania","Ramnicu Valcea","Valcea","VL"
900,"Rosca I., M<e2>nzu C.C.","Feeding ecology of knout goby (Mesogobius batrachocephalus Pallas, 1814) from the Romanian Black Sea (Agigea - Eforie Nord area)",2011,2,"Alexandru Ioan Cuza University, Bd Carol I, no. 20A, Iasi, 700505, Romania","2-s2.0-79959300380","alexandru ioan cuza university, bd carol i, no. 20a, iasi, 700505, romania","Iasi","Iasi","IS"
904,"Rusu D.","Regionalization in the black sea area: A comparative study",2011,NA,"Babes-Bolyai University, Cluj-Napoca, Romania","2-s2.0-84859041074","babes-bolyai university, cluj-napoca, romania","Cluj Napoca","Cluj","CJ"
908,"Florea N., Cristache C., Oaie G., Duliu O.G.","Concordant 210Pb and 137Cs ages of black sea anoxic unconsolidated sediments",2011,3,"University of Bucharest, Department of Atomic and Nuclear Physics, P.O. Box MG-11, 077125 Magurele (Ilfov), Romania","2-s2.0-79957859928","university of bucharest, department of atomic and nuclear physics, p.o. box mg-11, 077125 magurele (ilfov), romania","Bucharest","Bucuresti","B"
908,"Florea N., Cristache C., Oaie G., Duliu O.G.","Concordant 210Pb and 137Cs ages of black sea anoxic unconsolidated sediments",2011,3,"National Institute for Marine Geology and Geoecology, 34 Dimitrie Onciul str., 024504 Bucharest, Romania","2-s2.0-79957859928","national institute for marine geology and geoecology, 34 dimitrie onciul str., 024504 bucharest, romania","Bucharest","Bucuresti","B"
926,"Yankova M., Pavlov D., Raykov V., Mihneva V., Radu G.","Length-weight relationships of ten fish species from the Bulgarian Black Sea waters",2011,6,"NIMRD 'Grigore Antipa' - Constanca, 300 Mamaia Blvd, Romania","2-s2.0-79952342165","nimrd 'grigore antipa' - constanca, 300 mamaia blvd, romania","Constanta","Constanta","CT"
927,"van Assche K., Duineveld M., Beunen R., Teampau P.","Delineating locals: Transformations of knowledge/power and the governance of the danube delta",2011,24,"Political Sciences, Babes Bolyai University, Cluj-Napoca, Romania","2-s2.0-79953196539","political sciences, babes bolyai university, cluj-napoca, romania","Cluj Napoca","Cluj","CJ"
931,"Negreanu-P<ee>rjol B., Negreanu-P<ee>rjol T., Paraschiv G., Gorun E., Lilios G., S<ee>rbu R., Meghea A.","Biological and microbiological characterization of residual marine biomass from Romanian Black Sea Coast - Health evaluation of beach environmental",2011,NA,"Ovidius University of Constanta, Faculty of Pharmacy, Corp B, 1, Al. Universitatii, Constanta, Romania","2-s2.0-79956332905","ovidius university of constanta, faculty of pharmacy, corp b, 1, al. universitatii, constanta, romania","Constanta","Constanta","CT"
931,"Negreanu-P<ee>rjol B., Negreanu-P<ee>rjol T., Paraschiv G., Gorun E., Lilios G., S<ee>rbu R., Meghea A.","Biological and microbiological characterization of residual marine biomass from Romanian Black Sea Coast - Health evaluation of beach environmental",2011,NA,"Ovidius University of Constanta, Faculty of Natural Sciences, Constanta, Romania","2-s2.0-79956332905","ovidius university of constanta, faculty of natural sciences, constanta, romania","Constanta","Constanta","CT"
931,"Negreanu-P<ee>rjol B., Negreanu-P<ee>rjol T., Paraschiv G., Gorun E., Lilios G., S<ee>rbu R., Meghea A.","Biological and microbiological characterization of residual marine biomass from Romanian Black Sea Coast - Health evaluation of beach environmental",2011,NA,"S.C. Prodiagnostic S.R.L., Medical Analysis Laboratory, Constanta, Romania","2-s2.0-79956332905","s.c. prodiagnostic s.r.l., medical analysis laboratory, constanta, romania","Constanta","Constanta","CT"
931,"Negreanu-P<ee>rjol B., Negreanu-P<ee>rjol T., Paraschiv G., Gorun E., Lilios G., S<ee>rbu R., Meghea A.","Biological and microbiological characterization of residual marine biomass from Romanian Black Sea Coast - Health evaluation of beach environmental",2011,NA,"Politehnica University of Bucharest, Faculty of Applied Chemistry and Materials Science, Bucharest, Romania","2-s2.0-79956332905","politehnica university of bucharest, faculty of applied chemistry and materials science, bucharest, romania","Bucharest","Bucuresti","B"
933,"Bologa A.S., Charlier R.H.","Romanian marine centennial",2011,NA,"National Institute for Marine Research and Development Grigore Antipa Romania, Academy of Romanian Scientists, National Delegate of ROM to CIESM, Romania","2-s2.0-84881452681","national institute for marine research and development grigore antipa romania, academy of romanian scientists, national delegate of rom to ciesm, romania","Constanta","Constanta","CT"
938,"Dan S., Walstra D.J.R., Stive M.J.F., Panin N.","Processes controlling the development of a river mouth spit",2011,16,"National Institute of Marine Geology and Geoecology - GeoEcoMar, 23-25, Dimitrie, Onciul Street, RO-024053, sector 2, Bucharest, Romania","2-s2.0-79951672958","national institute of marine geology and geoecology - geoecomar, 23-25, dimitrie, onciul street, ro-024053, sector 2, bucharest, romania","Bucharest","Bucuresti","B"
947,"Radan S.-C., Radan S.","Recent sediments as enviromagnetic archives. A brief overview",2011,2,"Geological Institute of Romania, 1 Caransebes St, Bucharest, Romania","2-s2.0-84923610220","geological institute of romania, 1 caransebes st, bucharest, romania","Bucharest","Bucuresti","B"
947,"Radan S.-C., Radan S.","Recent sediments as enviromagnetic archives. A brief overview",2011,2,"GeoEcoMar, 23-25 Dimitrie Onciul St, Bucharest, Romania","2-s2.0-84923610220","geoecomar, 23-25 dimitrie onciul st, bucharest, romania","Bucharest","Bucuresti","B"
948,"Chitea F., Georgescu P., Ioane D.","Geophysical detection of marine intrusions in black sea coastal areas (Romania) using VES and ERT data",2011,1,"University of Bucharest, Department of Geophysics, 6 Traian Vuia Street, Bucharest, Romania","2-s2.0-84941617165","university of bucharest, department of geophysics, 6 traian vuia street, bucharest, romania","Bucharest","Bucuresti","B"
948,"Chitea F., Georgescu P., Ioane D.","Geophysical detection of marine intrusions in black sea coastal areas (Romania) using VES and ERT data",2011,1,"<U+393C><U+3E33>Sabba S.Stefanescu<U+393C><U+3E34> Institute of Geodinamics of the Romanian Academy, Romania","2-s2.0-84941617165","<U+393C><U+3E33>sabba s.stefanescu<U+393C><U+3E34> institute of geodinamics of the romanian academy, romania","Bucharest","Bucuresti","B"
951,"Fulga C.","Mineralogy of the bottom sediments in the central area of the black sea shelf",2011,NA,"National Institute of Marine Geology and Geoecology <U+393C><U+3E36> GeoEcoMar, Constanta Branch, 304 Mamaia Blvd, Constanta, Romania","2-s2.0-84941653445","national institute of marine geology and geoecology <U+393C><U+3E36> geoecomar, constanta branch, 304 mamaia blvd, constanta, romania","Constanta","Constanta","CT"
952,"Repez F., Popescu C., Arsith M., Gheorghe S., Postolache M.","The involvement of international organizations for economic development and maintaining security in the extended black sea region",2011,NA,"National Defence University 'Carol I', Bucharest, Romania","2-s2.0-84905094041","national defence university 'carol i', bucharest, romania","Bucharest","Bucuresti","B"
952,"Repez F., Popescu C., Arsith M., Gheorghe S., Postolache M.","The involvement of international organizations for economic development and maintaining security in the extended black sea region",2011,NA,"Danubius University, Galati, Romania","2-s2.0-84905094041","danubius university, galati, romania","Galati","Galati","GL"
953,"Postolache M., Repez F., Gheorghe S., Chirila A.","The presence of north atlantic treaty organization in the black sea region - realities and perspectives",2011,NA,"Danubius University, Research Center, Galati, Romania","2-s2.0-84905124470","danubius university, research center, galati, romania","Galati","Galati","GL"
953,"Postolache M., Repez F., Gheorghe S., Chirila A.","The presence of north atlantic treaty organization in the black sea region - realities and perspectives",2011,NA,"National Defense University 'Carol I', Bucharest, Romania","2-s2.0-84905124470","national defense university 'carol i', bucharest, romania","Bucharest","Bucuresti","B"
957,"Badescu V., Cathcart R.B.","Aral Sea partial restoration. II. Simulation of time-dependent processes",2011,2,"Candida Oancea Institute, Polytechnic University of Bucharest, Spl. Independentei 313, Bucharest 060042, Romania","2-s2.0-78649899252","candida oancea institute, polytechnic university of bucharest, spl. independentei 313, bucharest 060042, romania","Bucharest","Bucuresti","B"
958,"Badescu V., Cathcart R.B.","Aral sea partial restoration. I. A Caspian water importation macroproject",2011,2,"Candida Oancea Institute, Polytechnic University of Bucharest, Spl. Independentei 313, Bucharest 060042, Romania","2-s2.0-78649809073","candida oancea institute, polytechnic university of bucharest, spl. independentei 313, bucharest 060042, romania","Bucharest","Bucuresti","B"
967,"Rusu L.","Application of numerical models to evaluate oil spills propagation in the coastal environment of the Black Sea",2010,29,"Faculty of Mechanical Engineering, University Dunarea de Jos of Galati, Domneasca 111, 800 008 Galati, Romania","2-s2.0-78651410974","faculty of mechanical engineering, university dunarea de jos of galati, domneasca 111, 800 008 galati, romania","Galati","Galati","GL"
969,"Carozza L., Micu C., Burens A., Mihail F., Carozza J.-M., Mihai F., Ailincai S.C., Furestier R., Haita C., Balasescu A., Radu V.","The Danube Delta project: Society and environment during the Neolithic and Metal ages in the Danube Delta [Le projet Delta du Danube: Soci<e9>t<e9> et environnement durant le N<e9>olithique et les <e2>ges des M<e9>taux dans le Delta du dAnube]",2010,NA,"Institutul de Cercetari Eco-Muzeale, Str. 14 Noiembrie, nr. 1bis, 820009, Tulcea, Romania","2-s2.0-84879402141","institutul de cercetari eco-muzeale, str. 14 noiembrie, nr. 1bis, 820009, tulcea, romania","Tulcea","Tulcea","TL"
969,"Carozza L., Micu C., Burens A., Mihail F., Carozza J.-M., Mihai F., Ailincai S.C., Furestier R., Haita C., Balasescu A., Radu V.","The Danube Delta project: Society and environment during the Neolithic and Metal ages in the Danube Delta [Le projet Delta du Danube: Soci<e9>t<e9> et environnement durant le N<e9>olithique et les <e2>ges des M<e9>taux dans le Delta du dAnube]",2010,NA,"Muzeul National de Istorie a Rom<U+653C><U+3E32>niei, Calea Victoriei, nr. 12, 030026, Bucuresti, Romania","2-s2.0-84879402141","muzeul national de istorie a rom<U+653C><U+3E32>niei, calea victoriei, nr. 12, 030026, bucuresti, romania","Bucharest","Bucuresti","B"
969,"Carozza L., Micu C., Burens A., Mihail F., Carozza J.-M., Mihai F., Ailincai S.C., Furestier R., Haita C., Balasescu A., Radu V.","The Danube Delta project: Society and environment during the Neolithic and Metal ages in the Danube Delta [Le projet Delta du Danube: Soci<e9>t<e9> et environnement durant le N<e9>olithique et les <e2>ges des M<e9>taux dans le Delta du dAnube]",2010,NA,"Muzeul National de Istorie a Rom<U+653C><U+3E32>niei, Centrul National de Cercetari Pluridisciplinare, Calea Victoriei, nr. 12, sect. 3, 030026 Bucuresti, Romania","2-s2.0-84879402141","muzeul national de istorie a rom<U+653C><U+3E32>niei, centrul national de cercetari pluridisciplinare, calea victoriei, nr. 12, sect. 3, 030026 bucuresti, romania","Bucharest","Bucuresti","B"
970,"Tiron L., Provansal M.","Dynamic sedimentary in a deltaic environment: The St. George Branch in the Danube Delta [Dynamique s<e9>dimentaire dans un milieu delta<ef>que: Le Bras de St. George dans le delta du Danube]",2010,3,"INCD GEOECOMAR, Rue Dimitrie Onciul, No. 23-25, 024053, Bucarest, Romania","2-s2.0-78650386877","incd geoecomar, rue dimitrie onciul, no. 23-25, 024053, bucarest, romania","Bucharest","Bucuresti","B"
977,"Romanescu G.","Dune ecosystem management of the razim-sinoie littoral bar (Romania)",2010,1,"Department of Geography, Alexandru Ioan Cuza University, Bd.Carol I, 20A, 700505, Iasi, Romania","2-s2.0-84871398404","department of geography, alexandru ioan cuza university, bd.carol i, 20a, 700505, iasi, romania","Iasi","Iasi","IS"
986,"Zoran L.F.V., Golovanov C.I., Zoran M.A.","Spectral characteristics and feature selection of satellite remote sensing data for land use/cover changes assessment in the Romanian North-Western Black Sea coastal area",2010,NA,"University Politechnica of Bucharest, Electrical Engineering Faculty, Electrical Measurements Dept., Bucharest 77206, Romania","2-s2.0-78651073912","university politechnica of bucharest, electrical engineering faculty, electrical measurements dept., bucharest 77206, romania","Bucharest","Bucuresti","B"
986,"Zoran L.F.V., Golovanov C.I., Zoran M.A.","Spectral characteristics and feature selection of satellite remote sensing data for land use/cover changes assessment in the Romanian North-Western Black Sea coastal area",2010,NA,"National Institute of R and D for Optoelectronics, Remote Sensing Dept., MG5 Bucharest -Magurele 077125, Romania","2-s2.0-78651073912","national institute of r and d for optoelectronics, remote sensing dept., mg5 bucharest -magurele 077125, romania","Bucharest","Bucuresti","B"
996,"Luca C.","Greek-Levantine merchants in the Black Sea Harbors in the early eighteenth century new sources",2010,NA,"Department of Medieval and Early Modern Romanian History, Dunarea de Jos University, Galati, Romania","2-s2.0-79251530791","department of medieval and early modern romanian history, dunarea de jos university, galati, romania","Galati","Galati","GL"
996,"Luca C.","Greek-Levantine merchants in the Black Sea Harbors in the early eighteenth century new sources",2010,NA,"Dunarea de Jos University, Faculty of History, Philosophy and Theology, 111 Domneasca St., Galapi 800201, Romania","2-s2.0-79251530791","dunarea de jos university, faculty of history, philosophy and theology, 111 domneasca st., galapi 800201, romania","Galati","Galati","GL"
1008,"Datcu L., Nicolae F.","Fesasibility study on the implementation of strategy and modern policy environment management in naval and port activities of the danube-black sea canal",2010,1,"Naval Academy 'Mirceacel Batran', 8700 Constantza, Romania","2-s2.0-77958022497","naval academy 'mirceacel batran', 8700 constantza, romania","Constanta","Constanta","CT"
1013,"Golumbeanu M., Vosniakos F.K., Avdimiotis S., Mentzelou P., Constantin C., Teohareva M.","Upgrade Black Sea scene. Developing A research infrastructure for the Black Sea",2010,10,"International Research Secretariat of B.EN.A. (ISSE-BENA), National Institute for Marine Research and Development Grigore Antipa, 900 581 Constanta, Romania","2-s2.0-77957988758","international research secretariat of b.en.a. (isse-bena), national institute for marine research and development grigore antipa, 900 581 constanta, romania","Constanta","Constanta","CT"
1013,"Golumbeanu M., Vosniakos F.K., Avdimiotis S., Mentzelou P., Constantin C., Teohareva M.","Upgrade Black Sea scene. Developing A research infrastructure for the Black Sea",2010,10,"Romanian National Bureau of B.EN.A., National Institute for Industrial Ecology - ECOIND, 90-92 Panduri Street, Sector 5, 050 663 Bucharest, Romania","2-s2.0-77957988758","romanian national bureau of b.en.a., national institute for industrial ecology - ecoind, 90-92 panduri street, sector 5, 050 663 bucharest, romania","Bucharest","Bucuresti","B"
1026,"Altmann F.-L., Deimel J., Schmidt A.G.","Democracy and good governance in the Black Sea region",2010,2,"Department of Intercultural Relations, Bucharest State University, Bucharest, Romania","2-s2.0-77957040134","department of intercultural relations, bucharest state university, bucharest, romania","Bucharest","Bucuresti","B"
1040,"Ciobanu M., Popovici I., Pe<f1>a-Santiago R.","Nematodes of the order Dorylaimida from Romania: Two interesting species of the subfamily Qudsianematinae Jairajpuri, 1965",2010,2,"Institute of Biological Research, Department of Plant and Animal Taxonomy and Ecology, Str. Republicii 48, RO-400015 Cluj-Napoca, Romania","2-s2.0-77955439497","institute of biological research, department of plant and animal taxonomy and ecology, str. republicii 48, ro-400015 cluj-napoca, romania","Cluj Napoca","Cluj","CJ"
1041,"Sirbu R., Zaharia T., Maximov V., Bechir A.M., Maris M., Negreanu-Pirjol B., Maris D.A., Negreanu-Pirjol T., Leca M., Cadar E.M., Stoicescu R.M., Mocanu L., Jurja S.","Clean bio-technologies for obtaining new pharmaceutical formulations based on collagen gels and marine algae extracts for medical applications",2010,2,"Faculty of Pharmacy, 'Ovidius' University, 124 Mamaia Blvd., 900 527 Constanta, Romania","2-s2.0-77954961703","faculty of pharmacy, 'ovidius' university, 124 mamaia blvd., 900 527 constanta, romania","Constanta","Constanta","CT"
1041,"Sirbu R., Zaharia T., Maximov V., Bechir A.M., Maris M., Negreanu-Pirjol B., Maris D.A., Negreanu-Pirjol T., Leca M., Cadar E.M., Stoicescu R.M., Mocanu L., Jurja S.","Clean bio-technologies for obtaining new pharmaceutical formulations based on collagen gels and marine algae extracts for medical applications",2010,2,"National Institute for Marine Research and Development 'Grigore Antipa', 300 Mamaia Blvd., 900 581 Constanta, Romania","2-s2.0-77954961703","national institute for marine research and development 'grigore antipa', 300 mamaia blvd., 900 581 constanta, romania","Constanta","Constanta","CT"
1041,"Sirbu R., Zaharia T., Maximov V., Bechir A.M., Maris M., Negreanu-Pirjol B., Maris D.A., Negreanu-Pirjol T., Leca M., Cadar E.M., Stoicescu R.M., Mocanu L., Jurja S.","Clean bio-technologies for obtaining new pharmaceutical formulations based on collagen gels and marine algae extracts for medical applications",2010,2,"Faculty of Chemistry, University of Bucharest, 4-12 Regina Elisabeta Blvd., Bucharest, Romania","2-s2.0-77954961703","faculty of chemistry, university of bucharest, 4-12 regina elisabeta blvd., bucharest, romania","Bucharest","Bucuresti","B"
